0
101 1b1 Al
101 1b1 Pr
102 1b1 Ar
103 2b2 Ar
104 1b1 Al
104 1b1 Ar
104 1b1 Ll
104 1b1 Lr
104 1b1 Pl
104 1b1 Pr
105 1b1 Tc
106 2b1 Pl
106 2b1 Pr
107 2b3 Al
107 2b3 Ar
107 2b3 Ll
107 2b3 Lr
107 2b3 Pl
107 2b3 Pr
107 2b3 Tc
107 2b4 Al
107 2b4 Ar
107 2b4 Ll
107 2b4 Lr
107 2b4 Pl
107 2b4 Pr
107 2b4 Tc
107 2b5 Al
107 2b5 Ar
107 2b5 Ll
107 2b5 Lr
107 2b5 Pl
107 2b5 Pr
107 2b5 Tc
107 3p2 Al
107 3p2 Ar
107 3p2 Ll
107 3p2 Lr
107 3p2 Pl
107 3p2 Pr
107 3p2 Tc
108 1b1 Al
109 1b1 Al
109 1b1 Ar
109 1b1 Ll
109 1b1 Lr
109 1b1 Pl
109 1b1 Pr
110 1b1 Pr
110 1p1 Al
110 1p1 Ll
110 1p1 Lr
110 1p1 Pr
111 1b2 Tc
111 1b3 Tc
112 1b1 Ar
112 1b1 Lr
112 1p1 Ll
112 1p1 Pl
112 1p1 Pr
113 1b1 Al
113 1b1 Ar
113 1b1 Ll
113 1b1 Lr
113 1b1 Pl
113 1b1 Pr
114 1b4 Al
114 1b4 Ar
114 1b4 Lr
114 1b4 Pl
114 1b4 Pr
115 1b1 Ar
116 1b2 Pl
116 1b2 Tc
117 1b2 Tc
117 1b3 Tc
118 1b1 Al
118 1b1 Ar
118 1b1 Ll
118 1b1 Lr
118 1b1 Pl
118 1b1 Pr
119 1b1 Ar
120 1b1 Al
120 1b1 Ar
120 1b1 Lr
120 1b1 Pl
120 1b1 Pr
121 1b1 Tc
121 1p1 Tc
122 2b1 Al
122 2b1 Ar
122 2b1 Tc
122 2b2 Al
122 2b2 Ar
122 2b2 Tc
122 2b3 Al
122 2b3 Ar
122 2b3 Tc
123 1b1 Al
124 1b1 Al
124 1b1 Ar
124 1b1 Ll
124 1b1 Lr
124 1b1 Pl
124 1b1 Pr
125 1b1 Tc
126 1b1 Al
127 1b1 Ar
128 1b3 Tc
129 1b1 Ar
130 1p2 Al
130 1p2 Ar
130 1p2 Ll
130 1p2 Lr
130 1p2 Pl
130 1p2 Pr
130 1p2 Tc
130 1p3 Al
130 1p3 Ar
130 1p3 Ll
130 1p3 Lr
130 1p3 Pl
130 1p3 Pr
130 1p3 Tc
130 1p4 Al
130 1p4 Ar
130 1p4 Ll
130 1p4 Lr
